2025-06-05 13:18:39 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-06-05 13:18:39 [restartedMain] INFO  com.nhnacademy.back.Main - Starting Main using Java 21.0.5 with PID 9282 (/Users/kimdoyun/Desktop/NHNAcademy/project/back/target/classes started by kimdoyun in /Users/kimdoyun/Desktop/NHNAcademy/project/back)
2025-06-05 13:18:39 [restartedMain] INFO  com.nhnacademy.back.Main - The following 1 profile is active: "dev"
2025-06-05 13:18:39 [restartedMain] INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:10240
2025-06-05 13:18:39 [restartedMain] INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Exception on Url - http://localhost:10240:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:10240/BACK/default": Connection refused. Will be trying the next url if available
2025-06-05 13:18:39 [restartedMain] WARN  o.s.c.c.c.ConfigServerConfigDataLoader - Could not locate PropertySource ([ConfigServerConfigDataResource@390afd5 uris = array<String>['http://localhost:10240'], optional = true, profiles = 'default']): I/O error on GET request for "http://localhost:10240/BACK/default": Connection refused
2025-06-05 13:18:39 [restartedMain] INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:10240
2025-06-05 13:18:39 [restartedMain] INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Exception on Url - http://localhost:10240:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:10240/BACK/dev": Connection refused. Will be trying the next url if available
2025-06-05 13:18:39 [restartedMain] WARN  o.s.c.c.c.ConfigServerConfigDataLoader - Could not locate PropertySource ([ConfigServerConfigDataResource@1d239261 uris = array<String>['http://localhost:10240'], optional = true, profiles = 'dev']): I/O error on GET request for "http://localhost:10240/BACK/dev": Connection refused
2025-06-05 13:18:39 [restartedMain] INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:10240
2025-06-05 13:18:39 [restartedMain] INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Exception on Url - http://localhost:10240:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:10240/BACK/default": Connection refused. Will be trying the next url if available
